keyword,material_family
wood,wood
pine,wood
oak,wood
veneer,wood
plywood,wood
birch,wood
bamboo,wood
mdf,wood
particleboard,wood
steel,metal
iron,metal
aluminum,metal
chrome,metal
brass,metal
plastic,plastic
polypropylene,plastic
polyethylene,plastic
abs,plastic
pet,plastic
acrylic,plastic
glass,glass
tempered,glass
fabric,textile
cotton,textile
polyester,textile
linen,textile
wool,textile
foam,foam
polyurethane,foam
paper,paper
cardboard,paper
fiberboard,paper
electronics,electronic
cable,electronic
led,electronic
battery,electronic
